CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LATracts1,LATracts10,LAPOP1_10,LALOWI1_10,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
41003001101,Oregon,Benton County,1,3662,1340,0,947,25.86,0,0,1,58.0,42727,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2449,75,100,3042,40,350,9,33,188,181,273,175
41003001102,Oregon,Benton County,1,4519,2083,0,351,7.77,0,0,1,50.1,63051,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2691,263,231,3732,47,438,12,22,268,238,326,269
41003010100,Oregon,Benton County,1,8519,3182,0,0,0.00,0,0,0,3.8,113254,1,1,0,5399,875,5399,63.38,875,10.27,1317,15.46,828,9.72,5078,59.61,23,0.27,84,0.98,6,0.07,41,0.48,167,1.96,185,2.17,20,0.63,46,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1275,2033,1413,7986,40,149,12,58,274,305,39,80
41003010200,Oregon,Benton County,0,4090,1565,0,6,0.15,0,0,0,6.3,83393,1,0,1,729,331,4090,100.00,1002,24.49,987,24.13,470,11.49,3809,93.13,15,0.37,58,1.42,3,0.07,37,0.90,168,4.11,162,3.96,21,1.33,124,7.91,729,17.82,331,8.09,146,3.57,100,2.44,674,16.49,4,0.09,7,0.18,1,0.02,13,0.31,30,0.73,36,0.87,0,0.00,23,1.46,1143,987,470,3809,15,58,3,37,168,162,23,131
41003010300,Oregon,Benton County,0,3203,1296,0,0,0.00,0,0,0,9.9,80242,1,0,1,1114,378,3203,100.00,871,27.19,591,18.45,510,15.92,3016,94.16,5,0.16,24,0.75,0,0.00,36,1.12,122,3.81,82,2.56,10,0.74,179,13.83,1114,34.78,378,11.80,204,6.35,161,5.02,1042,32.52,4,0.12,9,0.29,0,0.00,10,0.30,49,1.54,36,1.11,6,0.48,63,4.82,979,591,510,3016,5,24,0,36,122,82,10,185
41003010400,Oregon,Benton County,0,3808,1494,0,8,0.21,0,0,0,7.0,77946,1,0,1,1143,210,3808,100.00,817,21.46,821,21.56,560,14.71,3509,92.15,11,0.29,25,0.66,3,0.08,34,0.89,226,5.93,310,8.14,17,1.13,129,8.65,1143,30.02,210,5.50,238,6.25,173,4.54,1061,27.86,2,0.05,10,0.26,3,0.08,14,0.38,53,1.40,58,1.51,2,0.14,39,2.61,820,821,560,3509,11,25,3,34,226,310,19,129
41003010600,Oregon,Benton County,1,5507,1920,0,1875,34.05,0,0,1,53.2,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2110,199,132,4386,75,539,33,57,417,389,355,233
41003010702,Oregon,Benton County,1,3645,951,0,1484,40.71,0,0,1,45.2,68833,0,0,0,90,76,90,2.46,76,2.07,10,0.27,8,0.21,80,2.20,1,0.03,3,0.09,0,0.01,1,0.02,4,0.12,5,0.13,4,0.44,5,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1693,279,208,2914,63,389,29,26,224,197,159,171
41003010800,Oregon,Benton County,1,3455,1345,0,17,0.49,0,1,0,18.1,66932,1,1,0,3455,1412,3455,100.00,1412,40.86,905,26.19,352,10.19,3124,90.42,21,0.61,26,0.75,0,0.00,43,1.24,241,6.98,253,7.32,118,8.77,344,25.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1421,905,352,3124,21,26,0,43,241,253,116,343
41003010900,Oregon,Benton County,1,4603,1822,0,12,0.26,0,0,0,14.7,105263,1,1,0,2111,357,2111,45.86,357,7.75,476,10.33,303,6.59,1944,42.23,17,0.37,43,0.94,5,0.11,7,0.15,95,2.06,98,2.13,7,0.38,42,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1244,1066,548,4087,50,213,10,16,227,223,50,106
41005020100,Oregon,Clackamas County,1,3870,1629,0,0,0.00,0,0,0,1.7,148125,0,0,0,84,10,84,2.17,10,0.27,25,0.64,10,0.27,81,2.10,0,0.00,0,0.00,0,0.00,0,0.00,3,0.07,0,0.01,1,0.03,2,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,536,933,619,3547,26,141,1,13,142,172,107,95
41005020200,Oregon,Clackamas County,1,6193,2809,0,0,0.00,0,0,0,5.8,157431,0,0,0,249,21,249,4.03,21,0.34,61,0.99,38,0.61,228,3.68,0,0.00,15,0.24,0,0.00,0,0.00,6,0.10,5,0.08,2,0.06,3,0.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,756,1223,1160,5706,25,217,9,17,219,229,65,93
41005020302,Oregon,Clackamas County,1,3591,1566,0,13,0.36,0,0,0,5.4,118456,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,511,802,398,3105,34,240,4,19,189,200,91,144
41005020303,Oregon,Clackamas County,1,5275,2640,0,60,1.14,0,1,0,4.5,122500,0,0,0,107,16,107,2.02,16,0.30,22,0.43,18,0.35,95,1.80,1,0.02,7,0.13,0,0.00,0,0.00,4,0.08,3,0.06,1,0.02,1,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,765,863,957,4585,60,345,25,27,233,220,146,48
41005020304,Oregon,Clackamas County,1,5438,2155,0,0,0.00,0,0,0,2.2,134327,1,1,0,1097,69,1097,20.18,69,1.26,257,4.72,129,2.37,926,17.03,5,0.09,115,2.11,1,0.01,0,0.00,51,0.94,36,0.66,1,0.02,10,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,652,1482,443,4476,53,665,8,17,219,211,39,45
41005020401,Oregon,Clackamas County,1,5059,2052,0,34,0.67,0,0,0,4.0,127883,0,0,0,350,49,350,6.92,49,0.98,85,1.69,52,1.02,323,6.39,2,0.03,16,0.32,0,0.00,0,0.00,9,0.18,12,0.23,1,0.06,6,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,672,1192,732,4591,20,202,5,25,216,252,56,98
41005020403,Oregon,Clackamas County,1,3628,1297,0,12,0.33,0,0,0,4.4,182000,1,1,0,2565,301,2565,70.70,301,8.29,672,18.51,302,8.33,2360,65.05,11,0.30,109,3.00,6,0.15,6,0.16,74,2.03,63,1.74,6,0.45,0,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439,924,471,3380,13,124,6,13,92,80,11,0
41005020404,Oregon,Clackamas County,1,3708,1445,0,5,0.13,0,0,0,2.3,164393,0,0,0,350,27,350,9.43,27,0.72,90,2.44,62,1.66,324,8.73,0,0.00,15,0.40,0,0.00,1,0.03,10,0.27,14,0.37,12,0.82,0,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,908,642,3432,11,118,2,14,131,135,61,0
41005020501,Oregon,Clackamas County,1,6921,2651,0,60,0.87,0,0,0,7.1,138851,1,1,0,864,222,864,12.48,222,3.21,200,2.89,133,1.93,797,11.52,3,0.05,20,0.29,2,0.03,1,0.01,40,0.58,36,0.52,14,0.52,19,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,954,1901,763,6143,71,363,14,22,308,298,137,163
41005020503,Oregon,Clackamas County,1,2339,962,0,0,0.00,0,0,0,5.7,137656,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261,545,369,2169,9,63,0,15,83,78,24,32
41005020504,Oregon,Clackamas County,1,6316,2431,0,14,0.22,0,0,0,2.0,136681,0,0,0,10,0,10,0.16,0,0.00,2,0.04,2,0.03,10,0.15,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425,1545,859,5792,20,271,4,32,197,195,41,113
41005020505,Oregon,Clackamas County,1,2661,1138,0,122,4.58,0,1,0,10.8,117875,0,0,0,28,2,28,1.05,2,0.07,6,0.23,5,0.18,26,0.99,0,0.00,0,0.01,0,0.00,0,0.00,1,0.04,1,0.03,1,0.06,0,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,474,553,802,2496,11,68,13,11,62,50,178,18
41005020600,Oregon,Clackamas County,1,7814,2889,0,28,0.36,0,0,0,5.4,119432,1,1,0,1094,172,1094,14.00,172,2.20,304,3.88,105,1.35,985,12.61,20,0.25,34,0.43,1,0.01,2,0.03,52,0.67,59,0.76,6,0.21,30,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1403,2079,724,7100,69,283,4,17,341,332,64,233
41005020700,Oregon,Clackamas County,1,3781,1416,0,12,0.32,0,0,0,7.7,105903,1,1,0,3586,477,3586,94.84,477,12.61,964,25.49,360,9.51,3312,87.59,9,0.23,92,2.42,5,0.13,9,0.25,159,4.21,157,4.16,17,1.21,134,9.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,541,1025,371,3481,11,96,5,10,178,180,18,146
41005020800,Oregon,Clackamas County,1,3989,1938,0,48,1.20,1,1,1,10.4,61548,1,1,0,1724,551,1724,43.22,551,13.82,257,6.44,348,8.73,1552,38.90,15,0.38,35,0.88,14,0.36,23,0.57,85,2.12,76,1.91,46,2.35,114,5.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1284,746,651,3604,38,93,16,60,178,189,150,242
41005020900,Oregon,Clackamas County,1,3799,1616,0,32,0.84,0,0,0,11.1,75521,0,0,0,433,76,433,11.40,76,2.01,97,2.55,21,0.55,397,10.46,3,0.07,3,0.08,0,0.00,3,0.07,27,0.71,35,0.93,7,0.44,29,1.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1255,804,454,3380,80,61,10,43,225,227,132,296
41005021000,Oregon,Clackamas County,1,4509,1837,0,12,0.27,0,0,0,15.2,77652,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1248,1007,596,4038,43,85,6,82,255,362,230,323
41005021100,Oregon,Clackamas County,1,5424,2159,0,101,1.86,0,0,0,11.0,82143,0,0,0,262,76,262,4.82,76,1.41,60,1.10,48,0.89,222,4.09,1,0.02,6,0.12,2,0.03,2,0.04,28,0.52,45,0.83,4,0.17,8,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1222,1163,704,4783,40,154,20,48,379,454,52,207
41005021200,Oregon,Clackamas County,1,3859,1891,0,109,2.82,0,1,0,15.5,73466,1,1,0,975,251,975,25.27,251,6.50,125,3.24,343,8.89,879,22.77,27,0.70,20,0.52,2,0.05,16,0.42,31,0.81,42,1.08,91,4.80,70,3.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1296,654,1108,3413,65,66,3,54,258,360,284,260
41005021300,Oregon,Clackamas County,1,5937,2349,0,26,0.44,0,0,0,9.5,86310,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,991,1329,799,5304,51,113,22,53,394,547,53,207
41005021400,Oregon,Clackamas County,1,4719,1986,0,73,1.55,0,0,0,13.1,90114,0,0,0,170,72,170,3.61,72,1.52,13,0.27,2,0.04,150,3.18,8,0.17,4,0.09,0,0.00,1,0.02,7,0.15,18,0.38,0,0.00,16,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1097,891,707,4226,63,97,6,31,296,343,153,274
41005021500,Oregon,Clackamas County,1,4927,2029,0,57,1.16,0,0,0,5.3,96141,1,1,0,770,143,770,15.63,143,2.91,144,2.93,142,2.88,696,14.13,7,0.15,26,0.52,1,0.02,7,0.15,32,0.66,42,0.86,0,0.00,16,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,853,942,1066,4384,49,214,11,33,236,272,189,108
41005021601,Oregon,Clackamas County,1,5951,2337,0,82,1.38,0,0,1,20.4,66384,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2237,1477,576,4725,129,202,29,99,767,1013,268,499
41005021602,Oregon,Clackamas County,1,4924,1895,0,5,0.10,0,0,1,14.2,66354,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1732,1173,599,3958,94,157,11,59,645,752,104,366
41005021700,Oregon,Clackamas County,1,6082,2664,0,66,1.09,0,1,0,19.1,75577,1,1,0,1303,543,1303,21.42,543,8.93,293,4.82,222,3.66,1136,18.68,16,0.27,23,0.38,6,0.10,6,0.10,115,1.90,136,2.23,124,4.67,98,3.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2600,1235,1150,5425,79,88,18,61,411,486,448,517
41005021801,Oregon,Clackamas County,1,5612,2090,0,114,2.03,0,0,0,2.0,103730,1,1,0,932,105,932,16.60,105,1.88,176,3.13,158,2.81,861,15.34,3,0.05,21,0.37,2,0.04,1,0.02,45,0.80,46,0.83,11,0.52,3,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,793,1131,1001,5150,28,133,4,47,250,276,60,22
41005021802,Oregon,Clackamas County,1,4300,1773,0,17,0.40,1,1,1,14.7,62500,1,1,0,859,354,859,19.97,354,8.24,191,4.45,121,2.82,773,17.98,8,0.19,30,0.71,8,0.18,3,0.06,37,0.85,67,1.55,37,2.08,85,4.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1552,1050,548,3687,64,87,19,36,407,614,258,511
41005021900,Oregon,Clackamas County,1,3515,1384,0,12,0.34,1,0,1,20.8,63841,1,1,0,1353,510,1353,38.50,510,14.52,335,9.52,120,3.41,1196,34.03,13,0.36,25,0.72,3,0.09,6,0.17,110,3.14,128,3.64,38,2.75,145,10.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1328,920,294,3101,26,55,15,38,280,389,78,376
41005022000,Oregon,Clackamas County,1,6412,2490,0,77,1.20,0,0,0,7.1,84107,1,1,0,1236,228,1236,19.28,228,3.56,277,4.33,160,2.50,1103,17.20,16,0.24,25,0.39,7,0.11,7,0.11,79,1.23,79,1.23,5,0.21,53,2.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1053,1435,1051,5818,47,115,30,45,357,400,231,287
